epoch              loss   RMSE_Etot_per_atom            RMSE_F      time
   38  1.5291250236e-02     1.2817368091e-04  2.7502209273e-02  311.5969
   39  1.5155946780e-02     1.2758580416e-04  2.7460746322e-02  311.1976
   40  1.9289383599e-02     1.4475307365e-04  2.7406386080e-02  311.7928
   41  1.8422792953e-02     1.4134153130e-04  2.7350371077e-02  311.3615
   42  1.5810226020e-02     1.3049650443e-04  2.7271925660e-02  311.4747
   43  1.6459068018e-02     1.3329734464e-04  2.7183040134e-02  311.9223
   44  1.5395938873e-02     1.2872626487e-04  2.7119441354e-02  311.3973
   45  1.4815081456e-02     1.2616519746e-04  2.7058404034e-02  310.8844
   46  1.8015930500e-02     1.3978585958e-04  2.6983559726e-02  311.6635
   47  2.3528049286e-02     1.6053767177e-04  2.6950485958e-02  311.3752
   48  3.2512756781e-02     1.8955258259e-04  2.6907836435e-02  311.3775
   49  1.5178482060e-02     1.2783979230e-04  2.6818474183e-02  311.7900
   50  1.4639103345e-02     1.2544405051e-04  2.6771477823e-02  311.5454
   51  1.4667450766e-02     1.2558678742e-04  2.6708765317e-02  311.0688
   52  1.4365598122e-02     1.2423491170e-04  2.6651557624e-02  311.3255
   53  1.4174092260e-02     1.2337923251e-04  2.6575477336e-02  311.4736
   54  1.4453395689e-02     1.2466825229e-04  2.6508029041e-02  311.3647
   55  3.7293331592e-02     2.0336588454e-04  2.6508499948e-02  311.1058
   56  1.4541212370e-02     1.2508489399e-04  2.6427803564e-02  311.1963
   57  1.5047929821e-02     1.2736103748e-04  2.6396479818e-02  311.0767
   58  1.4331946729e-02     1.2416183636e-04  2.6319452344e-02  311.9027
   59  1.4215815758e-02     1.2363486995e-04  2.6308019815e-02  312.7452
   60  2.8960404738e-02     1.7875100611e-04  2.6294275289e-02  311.3398
   61  1.4266911535e-02     1.2388161938e-04  2.6252101386e-02  311.2600
   62  1.3986541188e-02     1.2261167227e-04  2.6186913492e-02  311.7927
   63  1.3546936803e-02     1.2058393577e-04  2.6123662930e-02  311.4572
   64  1.3660906814e-02     1.2112450031e-04  2.6092471088e-02  311.0057
   65  7.7899095601e-02     2.9542548930e-04  2.6128185260e-02  311.7665
   66  2.2412970969e-02     1.5673433105e-04  2.6054857158e-02  312.1383
   67  1.3600528035e-02     1.2086689799e-04  2.5992124560e-02  311.2419
   68  1.3398683055e-02     1.1993068592e-04  2.5946065633e-02  310.6661
   69  1.3514931081e-02     1.2048532196e-04  2.5912789481e-02  311.3132
   70  1.3459744564e-02     1.2023434152e-04  2.5879302272e-02  311.6570
   71  1.3542075090e-02     1.2063646739e-04  2.5814200442e-02  311.6437
   72  1.3270693284e-02     1.1936334839e-04  2.5793812095e-02  311.5263
   73  1.3732945600e-02     1.2154140687e-04  2.5755542493e-02  311.2993
   74  1.3375137037e-02     1.1987867307e-04  2.5703847279e-02  311.2440
   75  1.3278412349e-02     1.1943237526e-04  2.5660405684e-02  311.1757
   76  1.4038142286e-02     1.2297916168e-04  2.5641885946e-02  311.5078
   77  8.2899941234e-02     3.0487663421e-04  2.5767043341e-02  311.7335
   78  1.5790839608e-02     1.3077627564e-04  2.5684632008e-02  311.3512
   79  1.3840013944e-02     1.2207675619e-04  2.5593521043e-02  310.9363
   80  1.3403823618e-02     1.2004965656e-04  2.5555412897e-02  311.1666
   81  1.3275150259e-02     1.1945578806e-04  2.5499920871e-02  312.7082
   82  1.3320566193e-02     1.1967647757e-04  2.5474906406e-02  311.2354
   83  5.7919904230e-02     2.5442484830e-04  2.5478823373e-02  311.5182
